Codice Articolo;Descrizione;EAN13;UM;ID_Prodotto;ID_variante;Descr_web;pesotassabile;Prezzo;PrezzoNoIva;Iva;Dispnetta
10.CECI.2;CONITIN EFFETTO CERA INCOLORE (I) LT2,5;8024060353922;NR;280058;117734;NULL;2.590000000;46.970000;46.970000;22;34.000000000
10.CECI.3;CONITIN EFFETTO CERA INCOLORE (I) ML750;8024060353939;NR;280058;117736;NULL;0.790000000;15.470000;15.470000;22;92.000000000
10.CECI.4;CONITIN EFFETTO CERA INCOLORE (I) ML375;8024060353946;NR;280058;117735;NULL;0.430000000;9.220000;9.220000;22;0.000000000
10.CECIC.2;CONITIN EFFETTO CERA COL. Y    I LT2,5;NULL;NR;280058;117743;NULL;0.000000000;56.890000;56.890000;22;0.000000000
10.CECIC.3;CONITIN EFFETTO CERA COL. Y    I ML750;NULL;NR;280058;117744;NULL;0.000000000;19.640000;19.640000;22;0.000000000
10.CECR.2;CONITIN EFFETTO CERA DOUGLAS (R) LT2,5;8024060353625;NR;280058;117731;NULL;2.610000000;51.640000;51.640000;22;59.000000000
10.CECR.3;CONITIN EFFETTO CERA DOUGLAS (R) ML750;8024060353632;NR;280058;117733;NULL;0.800000000;17.090000;17.090000;22;100.000000000
10.CECR.4;CONITIN EFFETTO CERA DOUGLAS (R) ML375;8024060353649;NR;280058;117732;NULL;0.430000000;10.120000;10.120000;22;78.000000000
10.CECRC.2;CONITIN EFFETTO CERA COL. Y    R LT2,5;NULL;NR;280058;117747;NULL;0.000000000;56.890000;56.890000;22;0.000000000
10.CECRC.3;CONITIN EFFETTO CERA COL. Y    R ML750;NULL;NR;280058;117748;NULL;0.000000000;19.640000;19.640000;22;0.000000000
10.CI01.1;CONITIN IMPREGNANTE Y01 MOGANO LT20ESAURITO;8024060391115;NR;280059;117765;NULL;18.740000000;0.000000;0.000000;22;0.000000000
10.CI01.2;CONITIN IMPREGNANTE Y01 MOGANO LT2,5;8024060391122;NR;280059;117764;NULL;2.470000000;41.590000;41.590000;22;10.000000000
10.CI01.3;CONITIN IMPREGNANTE Y01 MOGANO ML750;8024060391139;NR;280059;117767;NULL;0.750000000;13.770000;13.770000;22;112.000000000
10.CI01.4;CONITIN IMPREGNANTE Y01 MOGANO ML375;8024060391146;NR;280059;117766;NULL;0.410000000;8.330000;8.330000;22;7.000000000
10.CI01.5;CONITIN IMPREGNANTE Y01 MOGANO (I) LT18;8024060011778;NR;280059;166112;" ";17.000000000;268.360000;268.360000;22;0.000000000
10.CI02.2;CONITIN IMPREGNANTE Y02 NOCECHIARO LT2,5;8024060391221;NR;280059;117769;NULL;2.440000000;41.590000;41.590000;22;-4.000000000
10.CI02.3;CONITIN IMPREGNANTE Y02 NOCECHIARO ML750;8024060391238;NR;280059;117771;NULL;0.740000000;13.770000;13.770000;22;125.000000000
10.CI02.4;CONITIN IMPREGNANTE Y02 NOCECHIARO ML375;8024060391245;NR;280059;117770;NULL;0.400000000;8.330000;8.330000;22;153.000000000
10.CI02.5;CONITIN IMPREGNANTE Y02 NOCE CH.(I) LT18;8024060011792;NR;280059;166113;" ";16.850000000;268.360000;268.360000;22;0.000000000
10.CI03.2;CONITIN IMPREGNANTE Y03 NOCE MEDIO LT2,5;8024060391320;NR;280059;117772;NULL;2.420000000;41.590000;41.590000;22;37.000000000
10.CI03.3;CONITIN IMPREGNANTE Y03 NOCE MEDIO ML750;8024060391337;NR;280059;117775;NULL;0.740000000;13.770000;13.770000;22;181.000000000
10.CI03.4;CONITIN IMPREGNANTE Y03 NOCE MEDIO ML375;8024060391344;NR;280059;117774;NULL;0.400000000;8.330000;8.330000;22;129.000000000
10.CI03.5;CONITIN IMPREGNANTE Y03 NOCE M. (I) LT18;8024060011785;NR;280059;166114;" ";16.700000000;268.360000;268.360000;22;0.000000000
10.CI04.1;CONITIN IMPREGNANTE Y04 NOCE SCURO LT20ESAURITO;8024060391412;NR;280059;117777;NULL;18.590000000;0.000000;0.000000;22;0.000000000
10.CI04.2;CONITIN IMPREGNANTE Y04 NOCE SCURO LT2,5;8024060391429;NR;280059;117776;NULL;2.450000000;41.590000;41.590000;22;96.000000000
10.CI04.3;CONITIN IMPREGNANTE Y04 NOCE SCURO ML750;8024060391436;NR;280059;117779;NULL;0.740000000;13.770000;13.770000;22;267.000000000
10.CI04.4;CONITIN IMPREGNANTE Y04 NOCE SCURO ML375;8024060391443;NR;280059;117778;NULL;0.410000000;8.330000;8.330000;22;55.000000000
10.CI04.5;CONITIN IMPREGNANTE Y04 NOCE SC.(I) LT18;8024060011808;NR;280059;166115;" ";16.870000000;268.360000;268.360000;22;0.000000000
10.CI05.1;CONITIN IMPREGNANTE Y05 CASTAGNO LT20ESAURITO;8024060391511;NR;280059;117781;NULL;18.590000000;0.000000;0.000000;22;0.000000000
10.CI05.2;CONITIN IMPREGNANTE Y05 CASTAGNO LT2,5;8024060391528;NR;280059;117780;NULL;2.450000000;41.590000;41.590000;22;41.000000000
10.CI05.3;CONITIN IMPREGNANTE Y05 CASTAGNO ML750;8024060391535;NR;280059;117783;NULL;0.740000000;13.770000;13.770000;22;45.000000000
10.CI05.4;CONITIN IMPREGNANTE Y05 CASTAGNO ML375;8024060391542;NR;280059;117782;NULL;0.410000000;8.330000;8.330000;22;17.000000000
10.CI05.5;CONITIN IMPREGNANTE Y05 CASTAGNO (I)LT18;8024060011815;NR;280059;166116;" ";16.870000000;268.360000;268.360000;22;1.000000000
10.CI06.1;CONITIN IMPREGNANTE Y06 SEQUOIA LT20ESAURITO;8024060391818;NR;280059;117785;NULL;18.390000000;0.000000;0.000000;22;0.000000000
10.CI06.2;CONITIN IMPREGNANTE Y06 SEQUOIA LT2,5;8024060391825;NR;280059;117784;NULL;2.420000000;41.590000;41.590000;22;2.000000000
10.CI06.3;CONITIN IMPREGNANTE Y06 SEQUOIA ML750;8024060391832;NR;280059;117787;NULL;0.740000000;13.770000;13.770000;22;84.000000000
10.CI06.4;CONITIN IMPREGNANTE Y06 SEQUOIA ML375;8024060391849;NR;280059;117786;NULL;0.410000000;8.330000;8.330000;22;20.000000000
10.CI06.5;CONITIN IMPREGNANTE Y06 SEQUOIA (I) LT18;8024060011822;NR;280059;166117;" ";16.700000000;268.360000;268.360000;22;0.000000000
10.CI07.1;CONITIN IMPREGNANTE Y07 QUERCIA LT20ESAURITO;8024060391719;NR;280059;117789;NULL;18.540000000;0.000000;0.000000;22;0.000000000
10.CI07.2;CONITIN IMPREGNANTE Y07 QUERCIA LT2,5;8024060391726;NR;280059;117788;NULL;2.440000000;41.590000;41.590000;22;-2.000000000
10.CI07.3;CONITIN IMPREGNANTE Y07 QUERCIA ML750;8024060391733;NR;280059;117791;NULL;0.740000000;13.770000;13.770000;22;59.000000000
